policy,corruption,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
fixed,brightness,0.96615,1.21135,0.058875,0.060937742586554884,0.03385000000000005,40000
fixed,contrast,0.91495,3.95605,0.19355,0.21154161429586316,0.08504999999999996,40000
fixed,defocus_blur,0.922575,3.0809249999999997,0.150175,0.16277809392190337,0.07742499999999997,40000
fixed,elastic_transform,0.930725,2.504275,0.12175,0.13081200139676058,0.06927499999999998,40000
fixed,fog,0.954125,2.277375,0.111575,0.11693960434953492,0.045875,40000
fixed,frost,0.898125,4.143375,0.202075,0.2249965205288796,0.10187500000000005,40000
fixed,gaussian_blur,0.89005,5.042949999999999,0.24665,0.2771192629627549,0.10994999999999999,40000
fixed,gaussian_noise,0.84385,8.95665,0.440025,0.5214493097114417,0.15615,40000
fixed,glass_blur,0.808,7.431,0.36195,0.4479579207920792,0.19199999999999995,40000
fixed,impulse_noise,0.846425,6.929075,0.338775,0.40024219511474735,0.15357500000000002,40000
fixed,jpeg_compression,0.91365,3.0488500000000003,0.148125,0.1621244459037925,0.08635000000000004,40000
fixed,motion_blur,0.909,3.9174999999999995,0.191325,0.21047854785478548,0.09099999999999997,40000
fixed,pixelate,0.903225,4.365775,0.21345,0.23631985385701237,0.09677500000000006,40000
fixed,saturate,0.959675,1.4498250000000001,0.070475,0.0734363195873603,0.040325000000000055,40000
fixed,shot_noise,0.8552,6.8288,0.3342,0.3907857811038354,0.14480000000000004,40000
fixed,snow,0.9125,3.1119999999999997,0.151225,0.16572602739726028,0.08750000000000002,40000
fixed,spatter,0.93545,2.41155,0.11735,0.12544764551819979,0.06455,40000
fixed,speckle_noise,0.8555,6.185,0.302025,0.35303915838690825,0.14449999999999996,40000
fixed,zoom_blur,0.8989,4.0020999999999995,0.19505,0.21698742907998664,0.10109999999999997,40000
