policy,category,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
uaat_monotone,bottle,0.2878787878787879,1.3181818181818183,0.06060606060606061,0.21052631578947367,0.7121212121212122,66
uaat_monotone,cable,0.7833333333333333,4.216666666666667,0.4,0.5106382978723404,0.21666666666666667,120
uaat_monotone,capsule,0.37142857142857144,3.1999999999999997,0.2571428571428571,0.6923076923076923,0.6285714285714286,105
uaat_monotone,carpet,0.5053763440860215,3.8279569892473115,0.3333333333333333,0.6595744680851063,0.4946236559139785,93
uaat_monotone,grid,1.0,7.301587301587301,0.7301587301587301,0.7301587301587301,0.0,63
uaat_monotone,hazelnut,0.5568181818181818,2.375,0.19318181818181818,0.3469387755102041,0.44318181818181823,88
uaat_monotone,leather,0.44,2.46,0.19,0.4318181818181818,0.56,100
uaat_monotone,metal_nut,0.391304347826087,3.217391304347826,0.2608695652173913,0.6666666666666666,0.6086956521739131,92
uaat_monotone,pill,0.582089552238806,4.82089552238806,0.44029850746268656,0.7564102564102564,0.417910447761194,134
uaat_monotone,screw,0.7734375,5.3828125,0.515625,0.6666666666666666,0.2265625,128
uaat_monotone,tile,0.41935483870967744,1.9784946236559138,0.13978494623655913,0.3333333333333333,0.5806451612903225,93
uaat_monotone,toothbrush,0.38235294117647056,1.7941176470588236,0.11764705882352941,0.3076923076923077,0.6176470588235294,34
uaat_monotone,transistor,0.775,2.1,0.1875,0.24193548387096775,0.22499999999999998,80
uaat_monotone,wood,0.3333333333333333,2.253968253968254,0.15873015873015872,0.47619047619047616,0.6666666666666667,63
uaat_monotone,zipper,0.38016528925619836,2.5206611570247937,0.19008264462809918,0.5,0.6198347107438016,121
