policy,category,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
fixed,bottle,0.2727272727272727,1.1818181818181819,0.045454545454545456,0.16666666666666666,0.7272727272727273,66
fixed,cable,0.7,3.633333333333333,0.3333333333333333,0.47619047619047616,0.30000000000000004,120
fixed,capsule,0.6190476190476191,4.9523809523809526,0.45714285714285713,0.7384615384615385,0.38095238095238093,105
fixed,carpet,0.3225806451612903,2.612903225806452,0.1935483870967742,0.6,0.6774193548387097,93
fixed,grid,0.9047619047619048,6.920634920634921,0.6825396825396826,0.7543859649122807,0.09523809523809523,63
fixed,hazelnut,0.5454545454545454,2.272727272727273,0.18181818181818182,0.3333333333333333,0.4545454545454546,88
fixed,leather,0.18,1.12,0.03,0.16666666666666666,0.8200000000000001,100
fixed,metal_nut,0.6521739130434783,5.021739130434782,0.4673913043478261,0.7166666666666667,0.34782608695652173,92
fixed,pill,0.7761194029850746,6.492537313432836,0.6268656716417911,0.8076923076923077,0.22388059701492535,134
fixed,screw,0.8515625,6.0859375,0.59375,0.6972477064220184,0.1484375,128
fixed,tile,0.3333333333333333,1.3118279569892475,0.06451612903225806,0.1935483870967742,0.6666666666666667,93
fixed,toothbrush,0.5294117647058824,2.823529411764706,0.23529411764705882,0.4444444444444444,0.47058823529411764,34
fixed,transistor,0.8125,2.3125,0.2125,0.26153846153846155,0.1875,80
fixed,wood,0.20634920634920634,1.5873015873015874,0.07936507936507936,0.38461538461538464,0.7936507936507937,63
fixed,zipper,0.4628099173553719,3.1818181818181817,0.2644628099173554,0.5714285714285714,0.5371900826446281,121
