policy,category,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
uaat_monotone,bottle,0.2878787878787879,1.3181818181818183,0.06060606060606061,0.21052631578947367,0.7121212121212122,66
uaat_monotone,cable,0.7916666666666666,4.291666666666666,0.4083333333333333,0.5157894736842106,0.20833333333333337,120
uaat_monotone,capsule,0.780952380952381,6.314285714285715,0.6095238095238096,0.7804878048780488,0.21904761904761905,105
uaat_monotone,carpet,0.6881720430107527,4.827956989247311,0.45161290322580644,0.65625,0.31182795698924726,93
uaat_monotone,grid,0.9206349206349206,7.063492063492063,0.6984126984126984,0.7586206896551724,0.07936507936507942,63
uaat_monotone,hazelnut,0.4431818181818182,1.5795454545454546,0.10227272727272728,0.23076923076923078,0.5568181818181819,88
uaat_monotone,leather,0.5,2.9,0.24,0.48,0.5,100
uaat_monotone,metal_nut,0.5217391304347826,3.9565217391304346,0.34782608695652173,0.6666666666666666,0.4782608695652174,92
uaat_monotone,pill,0.4626865671641791,4.044776119402985,0.35074626865671643,0.7580645161290323,0.5373134328358209,134
uaat_monotone,screw,0.765625,5.3125,0.5078125,0.6632653061224489,0.234375,128
uaat_monotone,tile,0.4731182795698925,2.4623655913978495,0.1935483870967742,0.4090909090909091,0.5268817204301075,93
uaat_monotone,toothbrush,0.5,2.5588235294117645,0.20588235294117646,0.4117647058823529,0.5,34
uaat_monotone,transistor,0.8625,2.7625,0.2625,0.30434782608695654,0.13749999999999996,80
uaat_monotone,wood,0.6825396825396826,4.761904761904762,0.4444444444444444,0.6511627906976745,0.31746031746031744,63
uaat_monotone,zipper,0.38016528925619836,2.5206611570247937,0.19008264462809918,0.5,0.6198347107438016,121
