policy,category,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
uaat_monotone,bottle,0.2878787878787879,1.3181818181818183,0.06060606060606061,0.21052631578947367,0.7121212121212122,66
uaat_monotone,cable,0.7916666666666666,4.291666666666666,0.4083333333333333,0.5157894736842106,0.20833333333333337,120
uaat_monotone,capsule,0.38095238095238093,3.1904761904761902,0.2571428571428571,0.675,0.6190476190476191,105
uaat_monotone,carpet,0.6881720430107527,4.827956989247311,0.45161290322580644,0.65625,0.31182795698924726,93
uaat_monotone,grid,0.9047619047619048,6.920634920634921,0.6825396825396826,0.7543859649122807,0.09523809523809523,63
uaat_monotone,hazelnut,0.4431818181818182,1.5795454545454546,0.10227272727272728,0.23076923076923078,0.5568181818181819,88
uaat_monotone,leather,0.51,2.99,0.25,0.49019607843137253,0.49,100
uaat_monotone,metal_nut,0.5217391304347826,3.9565217391304346,0.34782608695652173,0.6666666666666666,0.4782608695652174,92
uaat_monotone,pill,0.4701492537313433,4.037313432835821,0.35074626865671643,0.746031746031746,0.5298507462686567,134
uaat_monotone,screw,0.765625,5.3125,0.5078125,0.6632653061224489,0.234375,128
uaat_monotone,tile,0.4731182795698925,2.4623655913978495,0.1935483870967742,0.4090909090909091,0.5268817204301075,93
uaat_monotone,toothbrush,0.5,2.5588235294117645,0.20588235294117646,0.4117647058823529,0.5,34
uaat_monotone,transistor,0.8625,2.7625,0.2625,0.30434782608695654,0.13749999999999996,80
uaat_monotone,wood,0.6984126984126984,4.904761904761904,0.4603174603174603,0.6590909090909091,0.3015873015873016,63
uaat_monotone,zipper,0.39669421487603307,2.669421487603306,0.2066115702479339,0.5208333333333334,0.6033057851239669,121
