policy,category,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
fixed,bottle,0.5,1.0151515151515151,0.25757575757575757,0.5151515151515151,0.5,66
fixed,cable,0.8916666666666667,1.125,0.5083333333333333,0.5700934579439252,0.10833333333333328,120
fixed,capsule,0.8857142857142857,1.542857142857143,0.7142857142857143,0.8064516129032258,0.11428571428571432,105
fixed,carpet,0.6559139784946236,1.1827956989247312,0.41935483870967744,0.639344262295082,0.34408602150537637,93
fixed,grid,1.0,1.4603174603174602,0.7301587301587301,0.7301587301587301,0.0,63
fixed,hazelnut,0.9431818181818182,1.2159090909090908,0.5795454545454546,0.6144578313253012,0.05681818181818177,88
fixed,leather,0.56,1.06,0.31,0.5535714285714286,0.43999999999999995,100
fixed,metal_nut,0.8043478260869565,1.4130434782608696,0.6086956521739131,0.7567567567567568,0.19565217391304346,92
fixed,pill,0.9552238805970149,1.6417910447761193,0.7985074626865671,0.8359375,0.04477611940298509,134
fixed,screw,1.0,1.484375,0.7421875,0.7421875,0.0,128
fixed,tile,0.5053763440860215,0.946236559139785,0.22580645161290322,0.44680851063829785,0.4946236559139785,93
fixed,toothbrush,0.8529411764705882,1.2647058823529411,0.5588235294117647,0.6551724137931034,0.1470588235294118,34
fixed,transistor,0.9,0.7,0.3,0.3333333333333333,0.09999999999999998,80
fixed,wood,0.8253968253968254,1.3492063492063493,0.5873015873015873,0.7115384615384616,0.17460317460317465,63
fixed,zipper,0.9586776859504132,1.5289256198347108,0.743801652892562,0.7758620689655172,0.04132231404958675,121
