policy,category,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
uncertainty_grid,bottle,0.4696969696969697,2.8030303030303028,0.22727272727272727,0.4838709677419355,0.5303030303030303,66
uncertainty_grid,cable,0.8833333333333333,5.116666666666667,0.5,0.5660377358490566,0.1166666666666667,120
uncertainty_grid,capsule,0.8857142857142857,7.257142857142858,0.7142857142857143,0.8064516129032258,0.11428571428571432,105
uncertainty_grid,carpet,0.6129032258064516,4.365591397849462,0.3978494623655914,0.6491228070175439,0.3870967741935484,93
uncertainty_grid,grid,1.0,7.301587301587301,0.7301587301587301,0.7301587301587301,0.0,63
uncertainty_grid,hazelnut,0.9318181818181818,5.750000000000001,0.5681818181818182,0.6097560975609756,0.06818181818181823,88
uncertainty_grid,leather,0.5,3.0,0.25,0.5,0.5,100
uncertainty_grid,metal_nut,0.8043478260869565,6.282608695652174,0.6086956521739131,0.7567567567567568,0.19565217391304346,92
uncertainty_grid,pill,0.9552238805970149,8.029850746268657,0.7985074626865671,0.8359375,0.04477611940298509,134
uncertainty_grid,screw,1.0,7.421875,0.7421875,0.7421875,0.0,128
uncertainty_grid,tile,0.4838709677419355,2.5591397849462365,0.20430107526881722,0.4222222222222222,0.5161290322580645,93
uncertainty_grid,toothbrush,0.8235294117647058,5.470588235294118,0.5294117647058824,0.6428571428571429,0.17647058823529416,34
uncertainty_grid,transistor,0.9,3.1,0.3,0.3333333333333333,0.09999999999999998,80
uncertainty_grid,wood,0.7936507936507936,5.761904761904762,0.5555555555555556,0.7,0.2063492063492064,63
uncertainty_grid,zipper,0.9421487603305785,7.330578512396695,0.7272727272727273,0.7719298245614035,0.05785123966942152,121
